method,lora_mode,shared_modules,lora_modules,sharing,rank,seed,total_trainable_params,best_acc,final_acc,log_file
shared_attn_only,shared_right,attn,attn,shared_right,5,1,193538,0.506048,0.506048,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s1_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,5,2,193538,0.505903,0.505903,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s2_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,5,3,193538,0.506020,0.506020,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s3_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,1,231938,0.493952,0.493952,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s1_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,2,231938,0.494097,0.494097,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s2_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,3,231938,0.493980,0.493980,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s3_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,4,231938,0.516843,0.516843,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s4_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,5,231938,0.491663,0.491663,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s5_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,7,1,270338,0.506048,0.506048,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r7_s1_fixao_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,7,2,270338,0.505903,0.505903,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r7_s2_fixao_train_log.txt
