method,lora_mode,shared_modules,lora_modules,sharing,rank,seed,total_trainable_params,best_acc,final_acc,log_file
independent_attn_only,standard,attn,attn,none,5,1,278018,0.941058,0.940768,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r5_s1_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,5,2,278018,0.933854,0.933784,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r5_s2_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,5,3,278018,0.931510,0.924394,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r5_s3_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,6,1,333314,0.938331,0.937541,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r6_s1_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,6,2,333314,0.939509,0.936927,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r6_s2_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,6,3,333314,0.933176,0.925186,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r6_s3_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,7,1,388610,0.935378,0.933034,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r7_s1_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,7,2,388610,0.941622,0.937068,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r7_s2_fixao_v4_train_log.txt
independent_attn_only,standard,attn,attn,none,7,3,388610,0.927579,0.925326,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_independent_attn_only_lm_standard_sm_attn_r7_s3_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,5,1,193538,0.940056,0.938654,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s1_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,5,2,193538,0.938021,0.934426,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s2_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,5,3,193538,0.936229,0.936229,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r5_s3_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,1,231938,0.937554,0.934388,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s1_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,2,231938,0.943867,0.938300,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s2_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,3,231938,0.932533,0.926726,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s3_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,4,231938,0.937616,0.934189,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s4_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,6,5,231938,0.935393,0.932099,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r6_s5_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,7,1,270338,0.947360,0.941029,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r7_s1_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,7,2,270338,0.931189,0.924522,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r7_s2_fixao_v4_train_log.txt
shared_attn_only,shared_right,attn,attn,shared_right,7,3,270338,0.933487,0.932376,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_shared_attn_only_lm_shared_right_sm_attn_r7_s3_fixao_v4_train_log.txt
